CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,BalanceSalaryRatio,ProductDensity,EngagementProductInteraction,AgeTenureInteraction,IsZeroBalance,CreditScoreBand,Geography_Germany,Geography_Spain,Gender_Male,Exited
723,48,7,0.0,2,1,1,150694.58,0.0,0.25,2,336,1,3,False,False,True,0
536,46,1,65733.41,1,1,0,61094.53,1.075929547193899,0.5,0,46,0,1,False,False,True,0
691,35,6,0.0,2,0,1,178038.17,0.0,0.2857142857142857,2,210,1,3,False,True,True,0
611,40,7,128486.91,2,1,0,10109.47,12.709559451414412,0.25,0,280,0,2,True,False,False,0
691,30,7,101231.77,2,0,0,156529.44,0.6467267115972131,0.25,0,210,0,3,True,False,True,0
659,34,9,134464.58,2,1,0,178833.34,0.7518988349669479,0.2,0,306,0,2,True,False,True,0
711,29,9,0.0,2,0,1,3234.8,0.0,0.2,2,261,1,3,False,False,False,0
559,24,3,114739.92,1,1,0,85891.02,1.3358779532326444,0.25,0,72,0,1,False,True,True,1
716,44,3,109528.28,1,1,0,27341.63,4.005916252834746,0.25,0,132,0,3,False,False,False,1
583,48,3,91246.53,1,1,0,60017.46,1.5203330830474944,0.25,0,144,0,2,False,False,True,1
593,41,6,0.0,1,1,0,65170.66,0.0,0.14285714285714285,0,246,1,2,False,False,False,0
824,60,8,134250.17,3,0,0,153046.16,0.8771874446188184,0.3333333333333333,0,480,0,5,True,False,True,1
567,48,3,0.0,1,1,0,55362.45,0.0,0.25,0,144,1,1,False,False,False,0
552,33,5,140931.57,1,0,1,10921.5,12.904048893201113,0.16666666666666666,1,165,0,1,False,False,True,0
564,27,6,0.0,1,0,0,7819.76,0.0,0.14285714285714285,0,162,1,1,False,False,False,0
756,42,9,0.0,2,1,0,35673.42,0.0,0.2,0,378,1,4,False,False,False,0
733,32,5,0.0,2,1,0,131625.14,0.0,0.3333333333333333,0,160,1,3,False,True,False,0
772,47,9,152347.01,1,0,1,17671.78,8.6209204727186,0.1,1,423,0,4,False,False,True,0
628,51,10,115280.49,2,0,0,12628.61,9.12851770629321,0.18181818181818182,0,510,0,2,True,False,False,1
579,45,2,0.0,2,0,0,11514.39,0.0,0.6666666666666666,0,90,1,1,False,False,False,0
676,34,1,63095.01,1,1,1,40645.81,1.5523127721762142,0.5,1,34,0,3,False,False,False,0
411,29,0,59697.17,2,1,1,53483.21,1.1161852476484455,2.0,2,0,0,1,False,False,True,0
547,49,8,121537.71,2,1,0,46521.45,2.6125090683413243,0.2222222222222222,0,392,0,1,True,False,True,1
727,31,3,82729.47,2,1,0,60212.51,1.3739581691350524,0.5,0,93,0,3,True,False,False,0
722,40,6,89175.06,2,0,1,152883.95,0.5832859498947842,0.2857142857142857,2,240,0,3,True,False,False,0
500,50,5,0.0,4,1,1,83866.35,0.0,0.6666666666666666,4,250,1,1,False,True,False,1
687,34,9,125474.44,1,1,0,198929.84,0.630747202125982,0.1,0,306,0,3,False,False,False,0
751,48,4,0.0,1,0,1,30165.06,0.0,0.2,1,192,1,4,False,False,False,1
564,33,4,135946.26,1,1,0,63170.0,2.152069969888364,0.2,0,132,0,1,False,False,False,0
545,53,5,114421.55,1,1,0,180598.28,0.6335694337696153,0.16666666666666666,0,265,0,1,True,False,True,1
561,34,4,85141.79,2,1,1,29217.37,2.9140812467749804,0.4,2,136,0,1,False,True,True,0
571,37,9,139592.98,3,1,0,104152.65,1.340272955115974,0.3,0,333,0,1,True,False,True,1
844,18,2,160980.03,1,0,0,145936.28,1.1030843735286175,0.3333333333333333,0,36,0,5,False,False,True,0
642,36,6,0.0,2,1,1,97938.59,0.0,0.2857142857142857,2,216,1,2,False,True,False,0
523,32,4,0.0,2,1,0,167848.02,0.0,0.4,0,128,1,1,False,True,True,0
575,46,1,0.0,2,1,1,65998.26,0.0,1.0,2,46,1,1,False,False,True,0
729,36,8,109106.8,1,0,0,121311.12,0.8993965268732217,0.1111111111111111,0,288,0,3,False,False,False,0
597,60,0,131778.08,1,0,0,10703.53,12.31164671726882,1.0,0,0,0,2,False,False,False,1
787,39,10,108935.39,1,1,1,101168.3,1.0767739499321747,0.09090909090909091,1,390,0,4,False,True,True,0
646,46,4,0.0,3,1,0,93251.42,0.0,0.6,0,184,1,2,False,False,False,1
544,21,10,161525.96,2,1,0,9262.77,17.438191813308737,0.18181818181818182,0,210,0,1,False,False,False,0
738,35,5,161274.05,2,1,0,181429.87,0.8889057242840502,0.3333333333333333,0,175,0,3,False,False,True,0
581,54,4,89299.81,1,0,0,5558.47,16.065537815969943,0.2,0,216,0,2,False,False,True,1
673,65,0,0.0,1,1,1,85733.33,0.0,1.0,1,0,1,3,False,False,True,0
667,38,6,144432.04,1,1,1,73963.17,1.9527562163445302,0.14285714285714285,1,228,0,2,False,False,False,1
721,40,7,0.0,2,1,1,122580.48,0.0,0.25,2,280,1,3,False,False,False,0
548,33,6,0.0,1,1,1,31728.35,0.0,0.14285714285714285,1,198,1,1,False,True,True,0
501,29,8,0.0,2,1,0,112664.24,0.0,0.2222222222222222,0,232,1,1,False,False,False,0
490,39,1,0.0,3,1,0,171060.01,0.0,1.5,0,39,1,1,False,False,True,1
706,44,2,185932.18,2,1,0,65413.41,2.842416868302043,0.6666666666666666,0,88,0,3,True,False,False,0
717,36,2,102989.83,2,0,1,49185.57,2.0939033541322405,0.6666666666666666,2,72,0,3,False,True,True,0
595,23,7,0.0,2,1,1,168085.97,0.0,0.25,2,161,1,2,False,True,True,0
730,62,2,0.0,2,1,1,186489.95,0.0,0.6666666666666666,2,124,1,3,False,True,True,0
657,39,4,80293.81,1,1,0,97192.76,0.8261295388583869,0.2,0,156,0,2,False,False,False,0
599,25,3,0.0,2,1,1,120790.02,0.0,0.5,2,75,1,2,False,True,True,0
619,33,2,167733.51,2,1,1,65222.48,2.571713157755245,0.6666666666666666,2,66,0,2,False,False,False,0
639,31,3,98360.03,1,0,0,20973.8,4.689661863625587,0.25,0,93,0,2,False,False,False,0
504,42,3,134936.97,2,0,0,135178.91,0.9982102237619891,0.5,0,126,0,1,False,False,True,0
694,38,7,121527.4,1,1,0,113481.02,1.0709050729269889,0.125,0,266,0,3,False,True,True,0
451,38,9,61482.47,1,1,1,167538.66,0.366974822405963,0.1,1,342,0,1,True,False,False,0
667,40,1,146502.07,1,1,0,19162.89,7.645092676123221,0.5,0,40,0,2,False,True,False,0
762,19,6,0.0,2,1,0,55500.17,0.0,0.2857142857142857,0,114,1,4,False,True,False,0
640,55,10,132436.34,1,1,0,978.66,135.32415738323405,0.09090909090909091,0,550,0,2,False,False,True,0
556,46,10,0.0,2,0,0,109184.24,0.0,0.18181818181818182,0,460,1,1,False,False,False,0
841,74,9,108131.53,1,0,1,60830.38,1.7775909010961697,0.1,1,666,0,5,False,False,True,0
469,48,5,0.0,1,1,0,160529.71,0.0,0.16666666666666666,0,240,1,1,False,False,False,1
579,41,0,141749.68,1,0,1,9201.53,15.405011990896618,1.0,1,0,0,1,True,False,True,0
774,40,9,93017.47,2,1,0,191608.97,0.4854546736487052,0.2,0,360,0,4,False,False,True,0
642,26,0,0.0,1,0,0,47472.68,0.0,1.0,0,0,1,2,False,False,True,0
557,42,6,177822.03,1,1,0,150944.31,1.1780638170383628,0.14285714285714285,0,252,0,1,False,False,True,1
711,45,1,97486.15,2,1,0,50610.62,1.9261994814146475,1.0,0,45,0,3,True,False,False,0
642,30,8,80964.57,2,1,0,174738.2,0.46334785410137364,0.2222222222222222,0,240,0,2,False,False,True,0
634,27,3,107027.52,1,1,0,173425.68,0.6171376695734038,0.25,0,81,0,2,True,False,True,0
826,29,4,129938.07,1,0,1,190200.53,0.6831635537467579,0.2,1,116,0,5,False,True,False,0
430,35,1,118894.22,1,0,0,2923.61,40.666922044777884,0.5,0,35,0,1,False,False,True,0
733,28,5,0.0,2,0,0,12761.16,0.0,0.3333333333333333,0,140,1,3,False,False,False,0
632,42,4,126115.6,1,1,0,100998.5,1.2486878517874158,0.2,0,168,0,2,False,False,True,0
539,38,6,0.0,1,1,1,152880.07,0.0,0.14285714285714285,1,228,1,1,False,True,True,1
614,41,7,179915.85,1,0,0,14666.35,12.267254633070447,0.125,0,287,0,2,False,True,False,1
706,20,8,0.0,2,1,1,12368.11,0.0,0.2222222222222222,2,160,1,3,False,True,True,0
640,30,5,32197.64,1,0,1,141446.01,0.22763201308946335,0.16666666666666666,1,150,0,2,True,False,False,0
711,43,2,39043.29,2,1,1,175423.69,0.22256566373548198,0.6666666666666666,2,86,0,3,True,False,True,0
703,41,6,109941.51,1,1,0,116267.28,0.9455928615432855,0.14285714285714285,0,246,0,3,False,False,False,0
661,47,0,109493.62,1,0,0,188324.01,0.5814108355032297,1.0,0,0,0,2,True,False,False,1
663,43,4,87624.03,2,1,0,149401.33,0.5865010037019985,0.4,0,172,0,2,False,False,True,0
568,33,7,0.0,2,1,0,143450.61,0.0,0.25,0,231,1,1,False,False,True,0
727,39,5,80615.46,2,0,0,180962.32,0.44548202078507015,0.3333333333333333,0,195,0,3,True,False,True,0
677,34,10,171671.9,1,1,1,50777.77,3.3808475637393913,0.09090909090909091,1,340,0,3,False,True,False,0
557,36,3,0.0,1,0,1,144078.02,0.0,0.25,1,108,1,1,False,False,True,0
640,39,3,0.0,1,1,1,105997.25,0.0,0.25,1,117,1,2,False,True,True,0
551,35,7,129717.3,2,0,0,86937.2,1.4920804902677787,0.25,0,245,0,1,False,False,True,0
575,52,8,123925.23,1,0,0,111342.66,1.1130076288718718,0.1111111111111111,0,416,0,1,False,True,True,1
606,40,6,119501.88,2,1,0,46774.94,2.55482700774058,0.2857142857142857,0,240,0,2,False,False,True,0
711,53,5,123805.03,1,1,0,102428.51,1.2086969731258546,0.16666666666666666,0,265,0,3,True,False,False,0
850,28,8,67639.56,2,1,1,194245.29,0.3482172463468832,0.2222222222222222,2,224,0,5,False,False,True,0
633,31,1,0.0,1,1,0,48606.71,0.0,0.5,0,31,1,2,False,False,True,0
646,29,4,105957.44,1,1,0,15470.91,6.848817554568618,0.2,0,116,0,2,True,False,False,0
626,38,7,141074.59,1,1,0,52795.56,2.672091933437734,0.125,0,266,0,2,False,False,True,1
716,40,3,0.0,2,0,1,167636.15,0.0,0.5,2,120,1,3,False,False,False,0
779,37,2,128389.63,1,1,1,6589.16,19.48497683779344,0.3333333333333333,1,74,0,4,True,False,False,1
635,32,8,0.0,2,1,1,19367.98,0.0,0.2222222222222222,2,256,1,2,False,True,False,1
775,27,4,0.0,1,1,1,40807.26,0.0,0.2,1,108,1,4,False,True,True,0
678,26,5,111128.04,1,1,0,60941.27,1.8235268152136717,0.16666666666666666,0,130,0,3,False,False,True,1
839,51,3,0.0,1,1,1,69101.23,0.0,0.25,1,153,1,5,False,False,False,1
692,31,2,0.0,2,1,0,91829.17,0.0,0.6666666666666666,0,62,1,3,False,False,False,1
499,21,3,176511.08,1,1,1,153920.22,1.1467699305448835,0.25,1,63,0,1,False,False,False,0
530,34,8,0.0,2,0,1,141872.52,0.0,0.2222222222222222,2,272,1,1,False,False,False,0
548,33,1,80107.83,2,0,1,82245.67,0.9740066559008639,1.0,2,33,0,1,False,False,False,0
537,41,3,138306.34,1,1,0,106761.47,1.2954705475552606,0.25,0,123,0,1,True,False,False,0
678,48,2,101099.9,2,0,1,193476.04,0.5225448070958938,0.6666666666666666,2,96,0,3,True,False,True,0
533,43,4,80442.06,2,0,1,12537.42,6.4161573907218425,0.4,2,172,0,1,True,False,True,0
723,20,4,0.0,2,1,1,140385.33,0.0,0.4,2,80,1,3,False,False,False,0
544,38,8,0.0,1,1,1,98208.62,0.0,0.1111111111111111,1,304,1,1,False,False,True,0
847,31,5,0.0,2,1,1,76326.67,0.0,0.3333333333333333,2,155,1,5,False,True,True,0
575,47,9,107915.94,2,1,1,63452.18,1.7007444030811747,0.2,2,423,0,1,True,False,True,1
574,34,5,0.0,2,0,0,28269.86,0.0,0.3333333333333333,0,170,1,1,False,True,True,0
572,31,5,98108.79,1,0,1,119996.95,0.8175940305081288,0.16666666666666666,1,155,0,1,False,True,True,0
718,31,1,152663.77,1,0,1,17128.64,8.91277824690619,0.5,1,31,0,3,False,False,False,0
637,35,8,147127.81,2,1,1,84760.7,1.7358022054827793,0.2222222222222222,2,280,0,2,True,False,True,0
704,24,2,0.0,1,1,0,35600.25,0.0,0.3333333333333333,0,48,1,3,False,True,False,1
645,33,8,149564.61,1,0,0,149913.84,0.997670461906668,0.1111111111111111,0,264,0,2,True,False,True,0
597,35,8,131101.04,1,1,1,192852.67,0.6797989366666285,0.1111111111111111,1,280,0,2,True,False,False,0
598,35,8,114212.6,1,1,1,74322.85,1.536709100881671,0.1111111111111111,1,280,0,2,False,False,True,0
703,31,6,0.0,2,1,1,67667.19,0.0,0.2857142857142857,2,186,1,3,False,True,True,0
724,34,2,154485.74,2,0,0,78560.64,1.9664521571875375,0.6666666666666666,0,68,0,3,False,False,True,0
613,37,3,171653.17,1,0,1,5353.12,32.06600449232111,0.25,1,111,0,2,False,True,True,0
696,30,8,0.0,2,1,1,196134.44,0.0,0.2222222222222222,2,240,1,3,False,False,False,0
813,27,1,137275.36,1,0,1,115733.16,1.186136799503391,0.5,1,27,0,5,False,True,True,0
714,26,9,89928.99,1,1,0,46203.31,1.946375486908917,0.1,0,234,0,3,False,False,False,0
794,37,9,0.0,2,1,0,68008.85,0.0,0.2,0,333,1,4,False,True,False,0
687,36,5,0.0,1,1,0,17696.22,0.0,0.16666666666666666,0,180,1,3,False,True,False,0
598,64,1,0.0,2,1,0,195635.3,0.0,1.0,0,64,1,2,False,False,True,1
773,41,4,0.0,2,1,1,24924.92,0.0,0.4,2,164,1,4,False,False,True,0
545,37,8,114754.08,1,1,0,136050.44,0.8434671729040827,0.1111111111111111,0,296,0,1,True,False,False,1
632,39,5,97854.37,2,1,0,93536.38,1.0461637493235663,0.3333333333333333,0,195,0,2,False,True,False,0
826,56,8,174506.1,2,0,1,161802.82,1.078510868963356,0.2222222222222222,2,448,0,5,False,True,False,1
535,50,1,140292.58,3,0,0,69531.22,2.0176919087279397,1.5,0,50,0,1,False,True,False,1
572,35,4,152390.26,1,1,0,128123.66,1.189399834494352,0.2,0,140,0,1,False,True,True,0
706,30,6,87609.68,2,0,0,137674.55,0.6363534872593638,0.2857142857142857,0,180,0,3,False,True,True,1
694,30,10,144684.03,1,1,1,31805.49,4.549026913135153,0.09090909090909091,1,300,0,3,False,False,True,0
575,30,2,0.0,2,1,1,82222.86,0.0,0.6666666666666666,2,60,1,1,False,True,True,0
626,44,10,81553.93,1,1,0,20063.63,4.064764451693698,0.09090909090909091,0,440,0,2,False,False,False,1
645,37,1,0.0,2,1,1,68987.55,0.0,1.0,2,37,1,2,False,False,False,0
758,32,2,84378.9,1,1,1,75396.43,1.1191365426570048,0.3333333333333333,1,64,0,4,False,False,False,0
559,62,6,118756.62,1,1,1,20367.68,5.830640504670603,0.14285714285714285,1,372,0,1,False,False,True,0
696,31,3,150604.52,1,0,0,5566.6,27.05502819907034,0.25,0,93,0,3,True,False,True,0
480,44,10,129608.57,1,1,0,5472.7,23.682747085774345,0.09090909090909091,0,440,0,1,True,False,True,1
567,36,1,0.0,2,0,0,8555.73,0.0,1.0,0,36,1,1,False,False,True,0
720,29,7,106230.92,1,1,1,69903.93,1.5196702102225204,0.125,1,203,0,3,True,False,False,1
528,62,7,133201.17,1,0,0,168507.68,0.7904753658658735,0.125,0,434,0,1,True,False,False,1
687,27,9,152328.88,2,0,0,126494.82,1.2042301811156835,0.2,0,243,0,3,True,False,False,0
531,37,1,0.0,1,1,0,4606.97,0.0,0.5,0,37,1,1,False,False,False,0
548,35,10,0.0,1,1,1,31299.71,0.0,0.09090909090909091,1,350,1,1,False,False,False,0
738,26,9,0.0,2,1,1,48644.94,0.0,0.2,2,234,1,3,False,False,True,0
615,30,8,0.0,2,0,0,3183.15,0.0,0.2222222222222222,0,240,1,2,False,False,True,0
561,28,6,123692.0,1,1,1,70548.96,1.7532788576648999,0.14285714285714285,1,168,0,1,False,True,True,0
652,45,2,151421.44,1,0,1,115333.43,1.3129015585393335,0.3333333333333333,1,90,0,2,True,False,True,0
850,57,8,126776.3,2,1,1,132298.49,0.9582596142937213,0.2222222222222222,2,456,0,5,False,True,False,0
719,40,4,128389.12,1,1,1,176091.31,0.7291053715215753,0.2,1,160,0,3,False,True,True,0
476,40,6,0.0,1,1,1,22735.45,0.0,0.14285714285714285,1,240,1,1,False,False,True,0
669,47,0,63723.78,2,1,1,181928.25,0.3502687460559299,2.0,2,0,0,2,True,False,True,0
590,34,0,65812.35,2,0,1,160346.3,0.41043884392461544,2.0,2,0,0,2,False,True,True,0
500,34,6,0.0,1,1,1,140268.45,0.0,0.14285714285714285,1,204,1,1,False,False,False,0
619,35,4,90413.12,1,1,1,20555.21,4.398550051086875,0.2,1,140,0,2,False,False,False,0
497,29,4,85646.81,1,0,0,63233.02,1.3544633800290662,0.2,0,116,0,1,False,False,False,1
715,32,10,0.0,2,1,0,60907.49,0.0,0.18181818181818182,0,320,1,3,False,False,False,0
358,52,8,143542.36,3,1,0,141959.11,1.0111528594324721,0.3333333333333333,0,416,0,1,False,True,False,1
619,44,3,116967.68,1,1,0,5075.17,23.04704669537236,0.25,0,132,0,2,False,False,True,1
850,56,1,169743.83,1,0,0,155850.4,1.0891459373791201,0.5,0,56,0,5,True,False,True,1
525,37,0,0.0,1,0,1,131521.72,0.0,1.0,1,0,1,1,False,True,False,0
637,27,9,128940.24,1,1,0,46786.92,2.7559035729910004,0.1,0,243,0,2,False,False,True,0
684,24,9,79263.9,1,0,1,196574.48,0.40322579003946374,0.1,1,216,0,3,False,True,False,0
640,31,10,118613.34,1,1,0,168469.65,0.7040635509084036,0.09090909090909091,0,310,0,2,True,False,False,0
742,28,2,191864.51,1,1,0,108457.99,1.7690214432171478,0.3333333333333333,0,56,0,4,False,False,False,1
648,54,7,118241.02,1,1,0,172586.89,0.6851100914983455,0.125,0,378,0,2,False,True,False,1
644,46,6,12459.19,1,0,0,156787.34,0.07946553592860581,0.14285714285714285,0,276,0,2,False,True,False,1
777,37,10,121532.17,2,1,1,73464.88,1.6542893692652287,0.18181818181818182,2,370,0,4,True,False,False,0
427,33,8,0.0,1,1,1,13858.95,0.0,0.1111111111111111,1,264,1,1,False,False,True,0
651,35,8,110067.71,1,1,0,127678.95,0.8620662215591368,0.1111111111111111,0,280,0,2,True,False,True,1
764,48,1,75990.97,1,1,0,158323.81,0.4799718374609607,0.5,0,48,0,4,False,True,False,1
576,29,7,130575.26,1,0,1,173629.78,0.7520326294213352,0.125,1,203,0,1,True,False,True,0
611,40,1,0.0,2,1,1,102547.56,0.0,1.0,2,40,1,2,False,False,True,0
710,37,5,0.0,2,1,0,115403.31,0.0,0.3333333333333333,0,185,1,3,False,False,False,0
700,39,5,144550.83,2,1,1,189664.43,0.7621399015051892,0.3333333333333333,2,195,0,3,True,False,False,0
725,35,7,75915.75,1,1,0,150507.43,0.5043986864933884,0.125,0,245,0,3,False,False,True,0
580,61,8,125921.37,1,1,1,94677.83,1.3299984800947593,0.1111111111111111,1,488,0,1,False,True,True,0
731,49,4,88826.07,1,1,1,33759.41,2.631149951891009,0.2,1,196,0,3,True,False,False,1
683,72,3,140997.26,1,0,1,52876.41,2.666543738452241,0.25,1,216,0,3,False,False,True,0
581,24,10,159203.71,1,1,1,102517.83,1.5529367915653995,0.09090909090909091,1,240,0,2,False,True,False,1
644,33,9,141234.98,1,1,0,95673.05,1.4762253319876788,0.1,0,297,0,2,False,False,True,0
590,24,7,126431.54,1,1,0,58781.11,2.1508872492855122,0.125,0,168,0,2,False,False,True,0
558,25,10,111363.1,2,1,0,197264.35,0.5645373834625236,0.18181818181818182,0,250,0,1,True,False,True,0
589,20,2,121093.29,2,1,0,3529.72,34.30676936575514,0.6666666666666666,0,40,0,2,True,False,False,0
768,48,3,122831.58,1,1,1,24533.89,5.006608409632284,0.25,1,144,0,4,True,False,True,1
751,36,5,73194.99,1,1,1,89222.66,0.8203632350703246,0.16666666666666666,1,180,0,4,True,False,True,0
606,38,7,128578.52,1,1,1,193878.51,0.6631911912224661,0.125,1,266,0,2,False,True,True,0
690,54,5,0.0,1,1,0,12847.61,0.0,0.16666666666666666,0,270,1,3,False,False,True,1
646,42,3,175159.9,2,0,0,67124.48,2.6094786879152068,0.5,0,126,0,2,False,False,False,1
674,36,6,100762.64,1,1,0,182156.86,0.5531641245871654,0.14285714285714285,0,216,0,3,True,False,False,0
525,60,7,0.0,2,0,1,168034.9,0.0,0.25,2,420,1,1,False,True,False,0
727,52,4,0.0,2,1,1,118429.02,0.0,0.4,2,208,1,3,False,False,True,0
658,35,9,71829.34,1,1,1,68141.92,1.0541138259524518,0.1,1,315,0,2,False,True,True,0
845,28,9,0.0,2,1,1,56185.98,0.0,0.2,2,252,1,5,False,False,False,0
646,24,0,92398.08,1,1,1,18897.29,4.889488386700448,1.0,1,0,0,2,True,False,True,0
691,41,8,109153.96,3,1,1,148848.76,0.7333212584321608,0.3333333333333333,3,328,0,3,True,False,False,1
553,47,3,116528.15,1,0,0,145704.19,0.7997584009025426,0.25,0,141,0,1,False,True,True,1
731,31,1,132512.26,1,1,1,185466.85,0.7144794878399322,0.5,1,31,0,3,False,False,True,0
647,37,3,116509.99,1,1,1,149517.71,0.7792387269656602,0.25,1,111,0,2,True,False,True,1
674,28,3,0.0,1,1,0,51536.99,0.0,0.25,0,84,1,3,False,False,False,0
758,23,5,122739.1,1,1,0,102460.84,1.197912295066116,0.16666666666666666,0,115,0,4,True,False,False,1
613,26,4,100446.57,1,0,1,149653.81,0.6711928683895774,0.2,1,104,0,2,False,False,True,0
765,34,5,86055.17,2,1,1,104220.5,0.8257029087288422,0.3333333333333333,2,170,0,4,True,False,True,0
550,25,0,0.0,2,1,1,184221.11,0.0,2.0,2,0,1,1,False,False,True,0
717,38,7,0.0,2,1,1,158580.05,0.0,0.25,2,266,1,3,False,False,True,0
689,28,2,64808.32,2,0,0,78591.15,0.8246261824540726,0.6666666666666666,0,56,0,3,True,False,False,0
630,41,7,107511.52,1,0,1,46156.87,2.329263661025341,0.125,1,287,0,2,False,True,True,0
554,44,6,92436.86,1,1,0,126033.9,0.7334285458060615,0.14285714285714285,0,264,0,1,False,False,False,0
811,28,4,167738.82,2,1,1,9903.42,16.93746402586809,0.4,2,112,0,5,True,False,False,0
592,45,8,84692.5,1,0,1,67214.02,1.2600421757059013,0.1111111111111111,1,360,0,2,False,True,True,0
765,37,7,102708.77,1,1,0,9087.81,11.301817488338575,0.125,0,259,0,4,True,False,True,0
637,40,8,125470.81,1,1,1,174536.17,0.71888142153733,0.1111111111111111,1,320,0,2,False,False,True,0
581,25,5,77886.53,2,1,0,150319.49,0.5181399298220202,0.3333333333333333,0,125,0,2,False,False,True,0
668,72,2,0.0,2,1,1,70783.61,0.0,0.6666666666666666,2,144,1,2,False,False,True,0
802,41,5,0.0,2,1,1,134626.3,0.0,0.3333333333333333,2,205,1,5,False,True,True,0
684,18,9,90544.0,1,0,1,4777.23,18.953242774797687,0.1,1,162,0,3,True,False,True,0
804,25,7,108396.67,1,1,0,128276.95,0.845020636982365,0.125,0,175,0,5,False,False,True,0
705,39,8,144102.32,1,1,1,11682.36,12.335035043233127,0.1111111111111111,1,312,0,3,False,True,False,0
785,38,9,107199.75,1,0,0,146398.51,0.7322461820087359,0.1,0,342,0,4,True,False,False,0
700,26,2,0.0,2,0,0,50051.42,0.0,0.6666666666666666,0,52,1,3,False,False,False,0
627,32,1,0.0,1,1,0,106851.7,0.0,0.5,0,32,1,2,False,False,False,0
745,34,9,0.0,2,1,0,50046.25,0.0,0.2,0,306,1,4,False,True,True,0
651,35,2,86911.8,1,1,0,174094.24,0.4992227198297932,0.3333333333333333,0,70,0,2,False,False,True,0
692,44,8,0.0,1,0,1,159069.37,0.0,0.1111111111111111,1,352,1,3,False,True,False,0
739,54,8,126418.14,1,1,0,134420.75,0.9404659622793321,0.1111111111111111,0,432,0,3,True,False,True,1
775,38,4,125212.65,2,1,1,15795.88,7.9269182845193225,0.4,2,152,0,4,True,False,False,1
573,37,6,0.0,2,1,0,193995.37,0.0,0.2857142857142857,0,222,1,1,False,False,False,0
850,36,0,136980.23,2,1,1,99019.65,1.3833641100389333,2.0,2,0,0,5,True,False,False,0
447,43,2,0.0,2,1,0,33879.26,0.0,0.6666666666666666,0,86,1,1,False,False,True,1
701,33,7,123870.07,1,1,0,97794.71,1.2666336450993452,0.125,0,231,0,3,False,True,False,0
685,39,9,0.0,2,1,1,18826.06,0.0,0.2,2,351,1,3,False,True,True,0
675,32,10,0.0,2,1,0,191545.65,0.0,0.18181818181818182,0,320,1,3,False,True,True,0
526,30,9,0.0,2,0,0,100995.68,0.0,0.2,0,270,1,1,False,False,True,0
597,24,0,108058.07,2,1,1,187826.11,0.5753090983965152,2.0,2,0,0,2,False,True,True,0
648,28,9,102282.61,1,1,1,157891.11,0.6478047434041866,0.1,1,252,0,2,False,True,False,0
673,77,10,76510.52,2,0,1,59595.66,1.2838270437598338,0.18181818181818182,2,770,0,3,True,False,False,0
